# Named widgets from Kenshi's shipped MyGUI layouts, one per line.
# Captured verbatim from data/gui/layout/*.layout in the pinned
# install; the game's own enumeration of its GUI. Not hand-authored.
#
# SCOPE: base Kenshi only. Mods add windows that exist in no layout
# file - RE_Kenshi contributes DebugWindow, GameSpeedTutorialWindow
# and BugReportWindow, observed live and absent here. Widgets built
# in code rather than loaded from a layout are also outside it; all
# 45 such controls observed so far were anonymous rendered text and
# none were actionable.
layout	widget	type
ColourPanel.layout	_Main	Window
ColourPanel.layout	widget_ColourRect	StaticImage
ColourPanel.layout	image_Picker	StaticImage
ColourPanel.layout	scroll_Range	VScroll
ColourPanel.layout	widget_ColourView	StaticText
ColourPanel.layout	edit_Blue	Edit
ColourPanel.layout	edit_Green	Edit
ColourPanel.layout	edit_Red	Edit
ColourPanel.layout	button_OK	Button
ColourPanel.layout	Button_Cancel	Button
Fog_Editor.layout	Root	Window
Fog_Editor.layout	types	ComboBox
Fog_Editor.layout	add	Button
Fog_Editor.layout	remove	Button
Fog_Editor.layout	listbox	ListBox
Fog_Editor.layout	data	Widget
Kenshi_AdvancedOptionsWindow.layout	Root	Window
Kenshi_AdvancedOptionsWindow.layout	Datapanel	Widget
Kenshi_AdvancedOptionsWindow.layout	TooltipPanel	Widget
Kenshi_BuildWindow.layout	Root	Widget
Kenshi_BuildWindow.layout	MainPanel	Widget
Kenshi_BuildWindow.layout	DescriptionText	EditBox
Kenshi_BuildWindow.layout	BuildingImage	ImageBox
Kenshi_BuildWindow.layout	BuildingTypePanel	Widget
Kenshi_BuildWindow.layout	BuldingTypePrevButton	Button
Kenshi_BuildWindow.layout	BuldingTypeNextButton	Button
Kenshi_BuildWindow.layout	BuildingName	TextBox
Kenshi_BuildWindow.layout	StatsPanel	Widget
Kenshi_BuildWindow.layout	CategoriesList	ListBox
Kenshi_BuildWindow.layout	BuildingsList	ListBox
Kenshi_BuildWindow.layout	lbCategories	TextBox
Kenshi_BuildWindow.layout	lbBuildings	TextBox
Kenshi_BuildWindow.layout	ButtonPanel	Widget
Kenshi_BuildWindow.layout	ConfirmButton	Button
Kenshi_BuildWindow.layout	UndoButton	Button
Kenshi_BuildWindow.layout	BuildButton	Button
Kenshi_BuildWindow.layout	CommandsPanel	Widget
Kenshi_BuildWindow.layout	CommandsTextBox	EditBox
Kenshi_BuildWindow.layout	lbCommands	TextBox
Kenshi_BuildWindow.layout	MessagePanel	Widget
Kenshi_BuildWindow.layout	FloorText	TextBox
Kenshi_BuildWindow.layout	FloorArrowDown	Button
